Circles's Radius,Returned Records,R* Time(ms),Sequential Scan Time(ms)
0.00550,0,3.1194,1160.6148
0.01100,34,3.6168,1201.7347
0.01650,106,7.7982,1168.0939
0.02200,468,9.2778,1154.0298
0.02750,1197,14.3163,1158.7148
0.03300,1998,18.5723,1162.7894
0.03850,2853,24.6971,1151.1537
0.04400,4148,32.2973,1244.3697
0.04950,5698,43.4815,1269.444
0.05500,6934,50.1868,1202.7587
0.06050,8429,55.082,1254.0268
0.06600,10349,63.4585,1218.8497
0.07150,13199,82.6241,1207.1434
0.07700,16082,94.4151,1152.5563
0.08250,19056,119.8093,1280.0679
0.08800,22555,149.3654,1195.6307
0.09350,26732,150.4478,1265.5796
0.09900,31217,196.0525,1300.0424
0.10450,36544,208.5682,1156.7154
0.11000,42733,263.1589,1191.8989
0.11550,48765,268.0557,1162.4395
0.12100,55666,293.3277,1164.8983
0.12650,61359,325.2577,1159.6397
0.13200,68219,420.8205,1230.1162
0.13750,75604,394.2035,1160.4452
0.14300,83730,483.7368,1255.7575
0.14850,94030,570.7862,1277.7074
0.15400,104261,557.3877,1208.4453
0.15950,115735,635.1107,1181.5826
0.16500,127034,666.0602,1254.297
0.17050,140823,751.7505,1239.8823
0.17600,155410,896.9482,1275.1375
0.18150,170611,910.6462,1299.8129
0.18700,184306,953.6981,1270.7885
0.19250,198061,1067.476,1216.1843
0.19800,213875,1143.9266,1193.7996
0.20350,228666,1207.886,1202.8567
0.20900,242701,1387.9765,1237.3527
0.21450,255617,1381.1951,1298.7547
0.22000,270318,1492.4196,1212.3465
0.22550,283774,1508.1277,1347.346
0.23100,295289,1627.0141,1216.5498
0.23650,306199,1612.1192,1207.4006
0.24200,317461,1744.1787,1254.589
0.24750,328691,1797.2366,1202.444
0.25300,338516,1746.9375,1233.3828
0.25850,347627,1771.6721,1230.695
0.26400,358567,1881.0638,1306.4339
0.26950,369254,1885.3358,1264.2624
0.27500,379584,2120.5492,1314.4905
0.28050,387007,2052.707,1256.2064
0.28600,394818,2251.5405,1312.9575
0.29150,403788,2025.774,1312.2612
0.29700,411956,2224.7893,1223.8131
0.30250,419715,2262.2516,1313.2922
0.30800,427179,2375.6791,1282.914
0.31350,436036,2352.2983,1219.2135
0.31900,443704,2222.5967,1202.1654
0.32450,451332,2306.899,1299.5732
0.33000,457822,2299.0262,1283.657
0.33550,464491,2431.9832,1267.7084
0.34100,471802,2392.4304,1286.5941
0.34650,480776,2507.0322,1266.4006
0.35200,489400,2449.2254,1255.827
0.35750,498823,2480.4081,1308.5922
0.36300,506966,2533.7721,1237.4034
0.36850,515830,2761.1849,1312.0755
0.37400,524668,2678.506,1267.7006
0.37950,533077,2714.2858,1245.7806
0.38500,541705,2937.7087,1312.635
0.39050,549276,2894.7075,1238.2498
0.39600,556260,2887.0795,1279.1916
0.40150,564508,3183.997,1271.9468
0.40700,571628,2896.572,1322.0225
0.41250,579487,2963.7088,1238.1465
0.41800,589189,3110.6313,1348.4367
0.42350,596984,3365.7129,1236.7805
0.42900,604681,3269.0391,1326.7767
0.43450,613267,3237.0025,1208.9699
0.44000,621890,3228.5046,1273.0907
0.44550,629821,3335.965,1357.8811
0.45100,637805,3669.2557,1372.3668
0.45650,647334,3392.9263,1252.0183
0.46200,657936,3518.7612,1244.2092
0.46750,667563,3657.5686,1310.0568
0.47300,675768,3465.134,1308.9724
0.47850,684963,3523.4717,1231.4804
0.48400,694275,3754.0598,1236.7449
0.48950,703229,3681.3552,1294.115
0.49500,713185,3503.9997,1249.5661
0.50050,722926,3776.6175,1241.4904
0.50600,733504,3720.8029,1291.8457
0.51150,744997,3898.0132,1259.156
0.51700,756626,3919.7825,1313.2027
0.52250,767750,4159.6125,1251.228
0.52800,778588,4258.5265,1325.4025
0.53350,790385,4195.7022,1227.777
0.53900,803650,4219.5795,1210.9925
0.54450,815939,4298.2371,1345.1431
