Rectangle's Area,Returned Records,R* Time(ms),Sequential Scan Time(ms)
0.00012,5,3.1747,1164.7262
0.00048,45,5.0014,1222.9043
0.00109,176,7.3559,1163.1127
0.00194,944,11.2322,1153.8295
0.00303,1896,15.5347,1200.7707
0.00436,2652,21.2645,1150.6996
0.00593,4012,29.9861,1165.273
0.00774,5405,36.0174,1206.7254
0.00980,7350,55.0262,1281.6474
0.01210,9236,64.5864,1187.7129
0.01464,11557,73.637,1249.8479
0.01742,14445,93.112,1219.7767
0.02045,18052,101.7031,1250.3789
0.02372,22029,121.952,1185.838
0.02723,26961,145.023,1157.3313
0.03098,32014,210.5424,1284.5313
0.03497,38137,204.2473,1155.2277
0.03920,44670,238.1064,1180.9911
0.04368,51132,311.2476,1278.0346
0.04840,57286,304.0381,1192.4734
0.05336,65093,336.1989,1162.448
0.05856,73386,403.3168,1235.091
0.06401,80274,466.6921,1188.8034
0.06970,88222,447.0188,1259.7572
0.07563,99492,513.6299,1274.9037
0.08180,110380,555.1554,1294.782
0.08821,123252,631.9709,1210.651
0.09486,137516,730.8132,1209.3198
0.10176,153753,779.7648,1189.1978
0.10890,170207,871.0556,1237.9877
0.11628,187427,1024.8215,1185.0198
0.12390,203452,1107.3473,1241.7947
0.13177,220440,1134.8037,1295.6969
0.13988,236205,1337.1952,1310.9852
0.14823,254234,1309.3701,1257.6101
0.15682,272862,1565.8493,1323.5746
0.16565,288968,1526.9409,1329.7168
0.17472,303895,1627.6387,1222.0026
0.18404,319293,1652.8284,1320.1115
0.19360,335745,1765.5111,1238.5455
0.20340,347862,1813.3102,1291.853
0.21344,357781,1829.2311,1282.0473
0.22373,367062,1814.2245,1212.2206
0.23426,374665,1876.5962,1256.1461
0.24503,381757,2035.0785,1240.9536
0.25604,390174,2086.776,1306.2856
0.26729,398280,2024.4973,1242.9411
0.27878,405255,2054.1201,1339.9732
0.29052,412347,2232.3888,1244.1084
0.30250,420408,2194.7388,1282.1216
0.31472,428270,2171.2938,1186.539
0.32718,436721,2308.9696,1231.4771
0.33989,445083,2510.1873,1303.6937
0.35284,453511,2335.6122,1314.733
0.36603,460617,2410.4646,1247.2496
0.37946,467716,2326.8612,1229.3609
0.39313,475838,2527.3584,1216.6904
0.40704,482809,2517.2704,1254.0123
0.42120,490301,2514.2234,1362.7462
0.43560,497199,2512.8353,1201.6444
0.45024,505378,2714.7781,1341.2246
0.46512,513514,2597.4335,1242.2088
0.48025,519698,2645.5922,1342.1485
0.49562,526742,2633.3174,1238.6134
0.51123,533829,2724.0218,1233.4344
0.52708,540416,2724.1842,1238.636
0.54317,548452,2895.7662,1246.8193
0.55950,556167,2885.2866,1267.2921
0.57608,563927,2943.3798,1249.986
0.59290,572064,2979.7384,1303.2465
0.60996,578970,3064.7983,1322.3531
0.62726,586938,2888.284,1291.0145
0.64481,595240,3196.2066,1236.4835
0.66260,602513,3032.2159,1231.5373
0.68063,609981,3386.6168,1258.3313
0.69890,618130,3263.6727,1251.3023
0.71741,625425,3221.1932,1295.0949
0.73616,633604,3497.9183,1272.05
0.75516,641470,3278.7987,1212.4946
0.77440,650235,3394.327,1218.042
0.79388,658137,3475.8006,1401.8339
0.81360,665605,3509.9728,1343.3868
0.83357,674855,3676.5523,1256.8421
0.85378,684514,3691.178,1329.643
0.87423,694874,3772.043,1277.3764
0.89492,704832,3606.8037,1211.908
0.91585,714300,3845.78,1314.4755
0.93702,724268,3823.2381,1260.4067
0.95844,733688,3915.9049,1239.3207
0.98010,743032,3642.9924,1252.5804
1.00200,753255,3855.4768,1239.0645
1.02414,763872,3758.149,1179.2941
1.04653,775037,4141.5873,1236.4201
1.06916,789065,4083.7164,1250.3879
1.09203,801831,4216.0664,1347.3227
1.11514,812171,4224.6719,1237.6015
1.13849,820687,4334.764,1258.6385
1.16208,829153,4435.3529,1304.0836
1.18592,836684,4404.8033,1322.7677
